CNP0424893.1 | CC[C@H](C)[C@@H](NC(=O)[C@H](COS(=O)(=O)O)OC)C(=O)N(CC(=O)NCCC1=CCN(C(=N)N)C1)CC[C@@H](O)C | C5
CNP0503885.4 | CC(C)(C)OC(=O)N[C@H](CCCN/C(N)=N\[N+](=O)[O-])C(=O)O | C6
CNP0359041.1 | CC(C)(C)OC(=O)[C@@H](CCC(=O)O)NC=O | C5
CNP0359041.1 | CC(C)(C)OC(=O)[C@@H](CCC(=O)O)NC=O | C5
CNP0386484.1 | COC(=O)[C@H](NC=O)C(C)C | C5
CNP0386484.1 | COC(=O)[C@H](NC=O)C(C)C | C5
CNP0508695.1 | CC(C)[C@H](NC=O)C(=O)O | C2
CNP0083476.1 | NC(=O)C[C@H](N)C(=O)O | C5
CNP0299795.2 | CC(C)[C@@H](NC(=O)OCc1ccccc1)C(=O)O | C6
CNP0587531.1 | CO[C@@H](COS(=O)(=O)O)C(=O)N[C@H](CC(C)C)C(=O)N(CC(=O)NCCC1=CCN(C(=N)N)C1)CC[C@@H](O)C | C3
CNP0587531.1 | CO[C@@H](COS(=O)(=O)O)C(=O)N[C@H](CC(C)C)C(=O)N(CC(=O)NCCC1=CCN(C(=N)N)C1)CC[C@@H](O)C | C4
CNP0587531.1 | CO[C@@H](COS(=O)(=O)O)C(=O)N[C@H](CC(C)C)C(=O)N(CC(=O)NCCC1=CCN(C(=N)N)C1)CC[C@@H](O)C | C5
CNP0299795.1 | CC(C)[C@@H](NC(=O)OCc1ccccc1)C(=O)O | C6
CNP0144526.1 | COC(=O)[C@@H](Cc1ccccc1)NC=O | C5
CNP0144526.1 | COC(=O)[C@@H](Cc1ccccc1)NC=O | C5
CNP0276818.1 | CCC(C)[C@@H](NC=O)C(=O)O | C5
CNP0276818.1 | CCC(C)[C@@H](NC=O)C(=O)O | C5
CNP0074747.1 | C[C@@H](O)C(=O)N[C@H](C(=O)N[C@H](CCC(=O)O)C(N)=O)[C@@H](C)O | C3
CNP0503885.2 | CC(C)(C)OC(=O)N[C@H](CCCNC(N)=N[N+](=O)[O-])C(=O)O | C6
CNP0245902.1 | CC[C@@H](OC(=O)/C=C/c1ccc(OC(=O)CN)cc1)C | C2
CNP0245902.1 | CC[C@@H](OC(=O)/C=C/c1ccc(OC(=O)CN)cc1)C | C3
CNP0377647.5 | O=C(O)[C@@H]1CCCN1C(=O)OCc1ccccc1 | C6
CNP0595383.0 | COC1=C(NC(C(=O)O)C(C)O)CC(O)(CO)CC1=N | C4
CNP0595383.0 | COC1=C(NC(C(=O)O)C(C)O)CC(O)(CO)CC1=N | C4
CNP0141926.1 | CC(C)[C@H](N)C(=O)O | C2
CNP0028081.1 | CC(C)C[C@@H](NC(=O)OC(C)(C)C)C(=O)O | C6
CNP0158760.1 | O=CN[C@H](CCC(=O)O)C(=O)O | C5
CNP0158760.1 | O=CN[C@H](CCC(=O)O)C(=O)O | C5
CNP0228778.1 | CCCCCCCCCCCCCCCCCC(=O)NCCCC[C@H](NC(=O)CC[C@@H](NC(=O)[C@H](C)NC(=O)[C@@H](C)O)C(N)=O)C(=O)O | C3
CNP0503885.7 | CC(C)(C)OC(=O)N[C@H](CCCNC(N)=N[N+](=O)[O-])C(=O)O | C6
CNP0211186.1 | COC(=O)[C@@H](CC(C)C)NC=O | C5
CNP0211186.1 | COC(=O)[C@@H](CC(C)C)NC=O | C5
CNP0299795.4 | CC(C)[C@@H](NC(=O)OCc1ccccc1)C(=O)O | C6
CNP0496230.1 | CC(C)(C)[C@@H](NC(=O)OCc1ccccc1)C(=O)O | C6
CNP0270277.1 | COC(COS(=O)(=O)O)C(=O)N[C@H](CC(C)C)C(=O)N(CC(=O)NCCC1=CCN(C(=N)N)C1)CC[C@@H](O)C | C3
CNP0270277.1 | COC(COS(=O)(=O)O)C(=O)N[C@H](CC(C)C)C(=O)N(CC(=O)NCCC1=CCN(C(=N)N)C1)CC[C@@H](O)C | C4
CNP0270277.1 | COC(COS(=O)(=O)O)C(=O)N[C@H](CC(C)C)C(=O)N(CC(=O)NCCC1=CCN(C(=N)N)C1)CC[C@@H](O)C | C5
CNP0516496.1 | COC(=O)C[C@@H](NC=O)C(=O)OC | C5
CNP0516496.1 | COC(=O)C[C@@H](NC=O)C(=O)OC | C5
CNP0206783.1 | C[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)N[C@@H](CCC[C@@H](NC(=O)CN)C(=O)O)C(=O)N[C@@H](C)C(=O)O)C(N)=O | C3
CNP0452488.1 | C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)C(CCC4[C@@]5(C)CC[C@H](OC(=O)CNOC)C(C)(C)C5CC[C@@]43C)C12 | C5
CNP0577565.1 | CC[C@@H](C)[C@@H](NC(=O)[C@H](COS(=O)(=O)[O-])OC)C(=O)N(CC[C@@H](O)C)CC(=O)NCCC1=CC[N+](=C(N)N)C1 | C3
CNP0577565.1 | CC[C@@H](C)[C@@H](NC(=O)[C@H](COS(=O)(=O)[O-])OC)C(=O)N(CC[C@@H](O)C)CC(=O)NCCC1=CC[N+](=C(N)N)C1 | C4
CNP0577565.1 | CC[C@@H](C)[C@@H](NC(=O)[C@H](COS(=O)(=O)[O-])OC)C(=O)N(CC[C@@H](O)C)CC(=O)NCCC1=CC[N+](=C(N)N)C1 | C5
CNP0325532.1 | C[C@@H](NC=O)C(=O)O | C5
CNP0325532.1 | C[C@@H](NC=O)C(=O)O | C5
CNP0181010.1 | C[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@H](CCC(=O)N[C@@H](CCC[C@@H](N)C(N)=O)C(=O)O)C(N)=O | C3
CNP0415227.1 | CC(C)C[C@@H](NC=O)C(=O)O | C5
CNP0415227.1 | CC(C)C[C@@H](NC=O)C(=O)O | C5
CNP0537944.1 | C[C@@H](O)[C@H](NC=O)C(=O)O | C5
CNP0539808.1 | COC1=C(N[C@H](C(=O)O)[C@@H](C)O)C[C@](O)(CO)CC1=NCC(=O)O | C6
CNP0503885.1 | CC(C)(C)OC(=O)N[C@H](CCCN/C(N)=N\[N+](=O)[O-])C(=O)O | C6
CNP0503885.6 | CC(C)(C)OC(=O)N[C@H](CCCN/C(N)=N\[N+](=O)[O-])C(=O)O | C6
